feature_set,algorithm,n_images,n_predictions,macro_precision,macro_recall,macro_iou,macro_boundary_f1,pixel_accuracy
xy_texture,KMeans,3,3,0.6653412827856054,0.4883274354447586,0.37992663768286333,0.1558762734919547,0.5261843329054297
rgb_texture_glcm,KMeans,3,3,0.4587848071411913,0.5784279634838762,0.3783824809182012,0.11967197871092172,0.5491949996650121
rgb,KMeans,9,10,0.5755820698028729,0.5114073668690625,0.3766241648155234,0.15194428172573812,0.49654589945392535
xy_texture_glcm,KMeans,3,3,0.4012232686699238,0.6027298377388759,0.33682516389015155,0.12410433358276503,0.4671151980147387
texture_glcm,KMeans,3,3,0.4093227065537269,0.5473817310270971,0.3326202432526721,0.09353653878675554,0.5794435994736479
RGB_only,Mean Shift,1,4,0.39517772718743044,0.4802703631183477,0.32985258744659507,0.2880869014691643,0.6010076349431818
lab_texture_leung_malik,Mean Shift,3,6,0.5528535500331726,0.40603079039346407,0.32609593368681217,0.16835109755964295,0.46715379386816513
xy_hsv_texture_leung_malik,Mean Shift,3,6,0.6113999298766777,0.39796265208816045,0.32563993119956436,0.16071639601430357,0.45483182913823034
hsv_texture_leung_malik,Mean Shift,3,6,0.5631417229534541,0.41851463429975966,0.3202661595785197,0.18100015464435648,0.4600970349963583
hsv_texture,KMeans,3,3,0.6268530928183015,0.4144376473996814,0.31746365579671504,0.13330222474533207,0.519550325888325
rgb_texture,KMeans,3,3,0.6383304542227566,0.4176656283799321,0.3164570759942876,0.15900214938183507,0.49928804479781635
lab_texture,KMeans,3,3,0.5639358234076771,0.4080995108515976,0.3111916428212074,0.14114593510273682,0.5236085831183682
HSV_XY,KMeans,1,1,0.5194509879348277,0.42369233617778157,0.3098263773921963,0.2280247658627392,0.5296618529040404
rgb,Mean Shift,9,18,0.3933983741567288,0.430666308431895,0.30615313794404114,0.14777664177349037,0.6048076493390238
texture,KMeans,3,3,0.6005403929781261,0.4070240461166473,0.3032437428372467,0.11780158271281559,0.48407197819279557
xy_lab_texture_leung_malik,Mean Shift,3,6,0.5160316198501733,0.3867570387665633,0.3025786338066972,0.1648363697705548,0.44467479609821087
XY_only,KMeans,1,1,0.481997446613304,0.49087263808746445,0.30040895746561724,0.07039184518040671,0.44798571654040403
xy_texture_leung_malik,Mean Shift,3,6,0.6095223135336844,0.36809824828969795,0.29676644266614494,0.13719025100727175,0.4110654652621366
lab_texture,Mean Shift,3,5,0.6440579405400741,0.3271883218264174,0.2894929034107032,0.05638745396372223,0.4177544626301163
HSV_only,Mean Shift,1,4,0.3890548974834445,0.41991987060623753,0.2888796870690161,0.25881730838212896,0.6003048058712122
rgb_texture_leung_malik,Mean Shift,3,6,0.5454214131452012,0.36360147841913687,0.2867659404606914,0.13637093131166586,0.42687767688390643
xy_rgb_texture_leung_malik,KMeans,3,4,0.4359871277400607,0.37077055232074724,0.2841488217542357,0.11550449674205666,0.48629762401394167
texture_leung_malik,Mean Shift,3,6,0.523475637864767,0.35872056654539747,0.2827426446327603,0.12781332150438332,0.42367299135798525
xy,KMeans,9,10,0.5014098617264541,0.453294728817269,0.27943438418945715,0.12906236324944373,0.4262370258963603
xy_hsv_texture_leung_malik,KMeans,3,4,0.4546803578464015,0.4098477147414006,0.2769737263012611,0.1364481655130653,0.46884941703419725
rgb_texture_leung_malik,KMeans,3,4,0.42722064582590163,0.3732372206142002,0.2748825191117033,0.11781191574779515,0.47214515486679876
LAB_Texture,Mean Shift,1,4,0.7019228022214345,0.2904589897431763,0.27372436870826594,0.15339200980078088,0.38908617424242425
HSV_XY,Mean Shift,1,4,0.5309259076242215,0.3638439549595685,0.27155650989285485,0.29305066833625176,0.42554450757575757
RGB_XY,Mean Shift,1,4,0.5261296646148491,0.3681418546488152,0.2711766241884444,0.2725156517941576,0.42021287089646464
hsv_texture,Mean Shift,3,5,0.625358120831325,0.35630225371103597,0.26702085067075626,0.09427889274905352,0.3746156071850676
RGB_Texture,Mean Shift,1,4,0.6662037806612682,0.2855364765006614,0.26395554918497405,0.14999699362973082,0.38396415325126265
