method_key,feature_set,method_dir,algorithm,n_images,n_predictions,macro_precision,macro_recall,macro_iou,macro_boundary_f1,pixel_accuracy
xy_rgb | KMeans | Postprocessed Img07.png-segment of 4,xy_rgb,KMeans,KMeans,1,1,0.8092836594807685,0.71209375,0.6097671929355097,0.255596315745262,0.472050787528126
RGB_HSV_LAB_XY_Texture | Sampled Mean Shift | Post Processed Img08-gaussian-1.5,RGB_HSV_LAB_XY_Texture,Sampled Mean Shift,Mean Shift,1,1,0.8982365369393761,0.6324036181011867,0.6074652703502268,0.2600099308404481,0.788510101010101
rgb | KMeans | Postprocessed Img10-segment of 5,rgb,KMeans,KMeans,1,1,0.984027499962958,0.6112713304821104,0.6052658760055412,0.07575320198031424,0.6110970190951743
xy_lab | Quarter Resize Mean Shift | Post Processed Img06.jpg-meanshift-1.5,xy_lab,Quarter Resize Mean Shift,Mean Shift,1,1,0.7330667046542569,0.6300725073934047,0.6050455943074583,0.5252187493814138,0.8403732577368297
LAB_only | Sampled Mean Shift | Post Processed Img08-gaussian-0.5,LAB_only,Sampled Mean Shift,Mean Shift,1,1,0.8573673867704138,0.7173016169051443,0.6027313289327091,0.3383640939628672,0.7474451546717171
xy_hsv | Quarter Resize Mean Shift | Post Processed Img06.jpg-meanshift-1.5,xy_hsv,Quarter Resize Mean Shift,Mean Shift,1,1,0.7270450567125311,0.634239092586743,0.602122237775001,0.5077804595870029,0.839318056539885
xy_rgb | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-1.5,xy_rgb,Quarter Resize Mean Shift,Mean Shift,1,1,0.9863707617278217,0.6049440962825808,0.599929375413816,0.26398186899671916,0.5829754988633493
hsv | KMeans | Postprocessed Img10-segment of 5,hsv,KMeans,KMeans,1,1,0.9951477746252976,0.601539537709163,0.5997803596228793,0.05981986753441888,0.6950537024061871
hsv | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-0.8,hsv,Quarter Resize Mean Shift,Mean Shift,1,1,0.9898567670271851,0.6028877652756017,0.5991860567990799,0.2619686791695281,0.7046780785098542
rgb | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-0.8,rgb,Quarter Resize Mean Shift,Mean Shift,1,1,0.9753531194601704,0.6073208944594787,0.5981413291250219,0.2671191985973172,0.7030718712961703
xy_lab_texture | KMeans | Postprocessed Img09-segment of 5,xy_lab_texture,KMeans,KMeans,1,1,0.7143019877738518,0.7438144923533831,0.5957515547244281,0.3211548454828732,0.6942175662878788
xy_rgb | KMeans | Postprocessed Img04.jpg-segment of 10,xy_rgb,KMeans,KMeans,1,1,0.7133242880770099,0.7179770249168763,0.5954374818948153,0.22727060538370664,0.7639307084683691
lab | KMeans | Postprocessed Img10-segment of 5,lab,KMeans,KMeans,1,1,0.9894065533918863,0.5968791993667585,0.5930889413916622,0.11912309277967767,0.6636287039582798
LAB_Texture | Sampled Mean Shift | Post Processed Img08-gaussian-1.5,LAB_Texture,Sampled Mean Shift,Mean Shift,1,1,0.8399993796709759,0.6548440213529384,0.5908025589449093,0.24567557515268057,0.7698962279040404
xy_rgb | Sampled Mean Shift | Post Processed Img04.jpg-meanshift-0.8,xy_rgb,Sampled Mean Shift,Mean Shift,1,1,0.7823968348942683,0.6782072758622905,0.5889206474488139,0.260415457436881,0.7046950299185571
xy_lab | Half Resize PCA 95 Mean Shift | Post Processed Img01-meanshift-1.5,xy_lab,Half Resize PCA 95 Mean Shift,Mean Shift,1,1,0.6248358678261949,0.8646011544816554,0.5797902417622673,0.4370059435504902,0.5005213696802482
hsv_texture | Quarter Resize Mean Shift | Post Processed Img10-meanshift-0.8,hsv_texture,Quarter Resize Mean Shift,Mean Shift,1,1,0.5781624996674087,1.0,0.5781624996674087,0.15382743536913399,0.5781624996674087
rgb | Quarter Resize Mean Shift | Post Processed Img10-meanshift-1.5,rgb,Quarter Resize Mean Shift,Mean Shift,1,1,0.5781624996674087,1.0,0.5781624996674087,0.15382743536913399,0.5781624996674087
xy | Quarter Resize Mean Shift | Post Processed Img10-meanshift-1.5,xy,Quarter Resize Mean Shift,Mean Shift,1,1,0.5781624996674087,1.0,0.5781624996674087,0.15382743536913399,0.5781624996674087
xy_hsv_texture | Quarter Resize Mean Shift | Post Processed Img10-meanshift-0.8,xy_hsv_texture,Quarter Resize Mean Shift,Mean Shift,1,1,0.5781624996674087,1.0,0.5781624996674087,0.15382743536913399,0.5781624996674087
lab_texture | Quarter Resize Mean Shift | Post Processed Img10-meanshift-0.8,lab_texture,Quarter Resize Mean Shift,Mean Shift,1,1,0.7543589961634947,0.7076197605708991,0.575103604075343,0.09072503160342028,0.6597085613431366
xy_rgb | KMeans | Postprocessed Img10-segment of 5,xy_rgb,KMeans,KMeans,1,1,0.9009853238136449,0.6132655503126323,0.5745439180935245,0.04485045498827533,0.5579391757057587
xy_hsv_texture_leung_malik | KMeans | Postprocessed Img03.jpg-segment of 5,xy_hsv_texture_leung_malik,KMeans,KMeans,1,1,0.9825250343608875,0.5790841760432986,0.5731807248024107,0.28860708990153777,0.6856497043412931
xy_texture_leung_malik | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-0.8,xy_texture_leung_malik,Quarter Resize Mean Shift,Mean Shift,1,1,0.7676327926208651,0.687491098134169,0.5690643559249599,0.16287285874125476,0.5527619639769172
LAB_XY | KMeans | Postprocessed Img08-segment of 5,LAB_XY,KMeans,KMeans,1,1,0.7069771893139668,0.6291577181076854,0.5689528232270862,0.47792075511878174,0.7399187184343434
xy_rgb_texture_glcm | KMeans | Postprocessed Img07.png-segment of 4,xy_rgb_texture_glcm,KMeans,KMeans,1,1,0.6183766752462945,0.87090625,0.5664546027358279,0.19222248099698794,0.5442944390871103
xy_rgb_texture_leung_malik | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-0.8,xy_rgb_texture_leung_malik,Quarter Resize Mean Shift,Mean Shift,1,1,0.9421010286765128,0.5837309500071215,0.5635151160992042,0.12063306514940965,0.5873601854910266
xy_rgb_texture_glcm | Sampled Mean Shift | Post Processed Img05.jpg-meanshift-1.5,xy_rgb_texture_glcm,Sampled Mean Shift,Mean Shift,1,1,0.8047431392443933,0.6632602126224847,0.5632525086762943,0.1758566223935825,0.8975891058153269
lab | KMeans | Postprocessed Img01-segment of 5,lab,KMeans,KMeans,1,1,0.6136401914326611,0.7747697775711739,0.5626309241281838,0.4164302623153364,0.5015705856827353
xy_lab_texture_glcm | Quarter Resize Mean Shift | Post Processed Img06.jpg-meanshift-1.5,xy_lab_texture_glcm,Quarter Resize Mean Shift,Mean Shift,1,1,0.7511114102566303,0.585673787621966,0.5614246151179928,0.36718790364876086,0.7903535711473344
LAB_Texture | KMeans | Postprocessed Img08-segment of 5,LAB_Texture,KMeans,KMeans,1,1,0.6897840646156348,0.6134876237626248,0.558915308266261,0.256144139769171,0.7741082702020202
xy_lab_texture_leung_malik | KMeans | Postprocessed Img03.jpg-segment of 5,xy_lab_texture_leung_malik,KMeans,KMeans,1,1,0.980223413624214,0.5647610739210939,0.5583984650049288,0.2678510622183279,0.6745681698952727
lab_texture_leung_malik | KMeans | Postprocessed Img03.jpg-segment of 5,lab_texture_leung_malik,KMeans,KMeans,1,1,0.979609792239064,0.5649569149693776,0.5583905962677178,0.2806414508199266,0.6748272355748991
xy_texture_leung_malik | KMeans | Postprocessed Img03.jpg-segment of 5,xy_texture_leung_malik,KMeans,KMeans,1,1,0.9763501534002436,0.563746261216351,0.5561517519978924,0.2723597349359868,0.6720293262349337
xy_hsv | KMeans | Postprocessed Img04.jpg-segment of 10,xy_hsv,KMeans,KMeans,1,1,0.6869615897224157,0.6703695605925132,0.5553910921717982,0.2509114664754416,0.7163061882762161
xy_hsv_texture_glcm | Quarter Resize Mean Shift | Post Processed Img06.jpg-meanshift-1.5,xy_hsv_texture_glcm,Quarter Resize Mean Shift,Mean Shift,1,1,0.7427436168729831,0.5844835549271862,0.5547048927651913,0.34321778771498285,0.7914323962516734
rgb_texture_glcm | KMeans | Postprocessed Img07.png-segment of 4,rgb_texture_glcm,KMeans,KMeans,1,1,0.6233626748231339,0.8343125,0.5546944796492905,0.10750843197248666,0.640348762455802
hsv_texture_glcm | Quarter Resize Mean Shift | Post Processed Img06.jpg-meanshift-1.5,hsv_texture_glcm,Quarter Resize Mean Shift,Mean Shift,1,1,0.6169331175870941,0.6658088146550123,0.5543877425178205,0.26241137845442963,0.8077801401685172
xy_texture | KMeans | Postprocessed Img10-segment of 5,xy_texture,KMeans,KMeans,1,1,0.9631464008442786,0.5655975603021396,0.5536162596547707,0.09909094469775735,0.7348227510177293
