feature_set,algorithm,n_results,n_images,macro_precision,macro_recall,macro_iou,macro_boundary_f1,pixel_accuracy,weighted_iou
xy_lab_texture_leung_malik,Mean Shift,6,3,0.5498972157288226,0.5998710704286573,0.461592289510145,0.1993551951833785,0.6709722596343806,0.5740527526132335
xy_hsv_texture,Mean Shift,5,3,0.5713960401942387,0.6375539940787304,0.45923229904367774,0.15557987527728817,0.6737127470060489,0.5089702707802981
rgb_texture,KMeans,3,3,0.5640630426994644,0.5353425660294573,0.4588078536961473,0.170037515468031,0.738755433058536,0.507638241366782
xy_texture,KMeans,3,3,0.6326664056337818,0.5116915931790721,0.45837056885543603,0.17685051490971038,0.752837815412335,0.4990615578663737
hsv_texture,Mean Shift,5,3,0.6026616528124695,0.5886165987639065,0.4555748328448616,0.14577235524537632,0.7034014088913673,0.5218613976046514
xy_lab_texture,Mean Shift,5,3,0.660834659945912,0.5094782025779852,0.4466940158487719,0.11772492375388446,0.7234660462672078,0.5101603619926033
texture,Mean Shift,6,3,0.5848743761097731,0.5593667029881606,0.4418495997204049,0.1383976188319452,0.7097083929754667,0.4975526789777381
hsv_texture_leung_malik,Mean Shift,6,3,0.5326318671953439,0.5944669382031909,0.437812995701903,0.2062148983955996,0.6311227651728987,0.539408927519096
lab_texture_leung_malik,Mean Shift,6,3,0.5185987538180337,0.5921757986124413,0.43769609304266677,0.19610488103116838,0.633207861424118,0.5450325967340832
xy_rgb_texture_leung_malik,Mean Shift,6,3,0.5475791116052027,0.5537026729255903,0.43710608030571274,0.1767465516317216,0.6332560903775032,0.5409190326618467
texture,KMeans,3,3,0.5716547063581318,0.500149557066443,0.4339913387988934,0.1651838925798669,0.7374535635935734,0.4726017329891626
RGB_HSV_LAB_XY_Texture,Mean Shift,4,1,0.568678822311169,0.5539557090345923,0.42731053380704,0.20546306082205915,0.6644521385732324,0.5456664239985989
rgb_texture_leung_malik,Mean Shift,6,3,0.5144670540080579,0.5809139706921473,0.4238641832083833,0.2013596432761473,0.6229628613906555,0.5281976895063636
rgb_texture,Mean Shift,5,3,0.5267919869336506,0.5502844037589827,0.4226145337283428,0.1246308701063574,0.6902496370852786,0.4848285285116141
texture_glcm,Mean Shift,6,3,0.6290955791596238,0.5975463474459773,0.4214774132489212,0.11899340926888692,0.7808824368136665,0.4885502441542662
LAB_Texture,Mean Shift,4,1,0.5320980009703711,0.5537664743976783,0.42135944296688216,0.19677305938729367,0.6655248776830808,0.5505366501459972
xy_texture,Mean Shift,6,3,0.6409417154703879,0.489613389638003,0.41490100002937536,0.11788063252017676,0.6710102933516954,0.46519306324727827
texture_leung_malik,Mean Shift,6,3,0.48939852865734923,0.5697577431590856,0.41312353108486216,0.1922987674880109,0.6174060180069848,0.5229189852802487
HSV_XY,KMeans,1,1,0.5086293576191071,0.5103262708497204,0.4077256566875729,0.2359825757805674,0.6979561237373737,0.5674524395860859
RGB_Texture,Mean Shift,4,1,0.5370884085246335,0.5418192217073321,0.4055203172144557,0.19118151757572718,0.652960266729798,0.5361241939459647
xy_rgb_texture_glcm,KMeans,3,3,0.4303260472221629,0.5912906201438913,0.396936250099789,0.11084642359085063,0.8096317031535473,0.5111351141635755
HSV_only,KMeans,1,1,0.4909807874449011,0.479078487590387,0.3760004933153583,0.22457259793448,0.6651870265151515,0.5333963424952765
rgb_texture_glcm,KMeans,3,3,0.42468932260146847,0.5536265218156922,0.36860016665344114,0.07505440598299114,0.7836501452123587,0.46944395978135606
xy_rgb_texture_leung_malik,KMeans,4,3,0.4159914236978752,0.45889383609946643,0.36522231843216096,0.12551968657336612,0.591256479598623,0.4607030505040839
Texture_only,Mean Shift,4,1,0.5075624719647174,0.5084250182423244,0.36322648315934836,0.1791943005298178,0.619436553030303,0.49243052631778483
xy_hsv_texture_leung_malik,KMeans,4,3,0.4173820532644157,0.46102116002312277,0.3618557146297614,0.14646592579567994,0.5950456790248873,0.45373326820706406
HSV_Texture,Mean Shift,4,1,0.5100813734464104,0.5048491982575551,0.36133813238234846,0.1752443729026332,0.6228323271780303,0.4912891968237877
RGB_only,Mean Shift,4,1,0.4245094481388072,0.48028980669291826,0.34493886834218057,0.29347029746453024,0.6365757181186869,0.4949645500810542
lab_texture_leung_malik,KMeans,4,3,0.41017372090407583,0.4366369994312334,0.3443526170875328,0.11840749711862825,0.5718161466676476,0.4375570708020829
